S,I,R
0.9998452083333332,3.229166666666667e-06,0.0001515625
0.9998425,2.708333333333333e-06,0.00015479166666666666
0.9998404166666667,2.0833333333333334e-06,0.0001575
0.9998386458333333,1.7708333333333335e-06,0.00015958333333333333
0.9998366666666667,1.9791666666666666e-06,0.0001613541666666667
0.9998338541666667,2.8125e-06,0.0001633333333333333
0.99983,3.854166666666667e-06,0.00016614583333333333
0.9998252083333333,4.791666666666667e-06,0.00017
0.9998204166666668,4.791666666666667e-06,0.00017479166666666668
0.999814375,6.041666666666667e-06,0.00017958333333333333
0.9998080208333333,6.354166666666667e-06,0.000185625
0.999800625,7.395833333333334e-06,0.0001919791666666667
0.9997938541666667,6.770833333333334e-06,0.000199375
0.9997813541666667,1.25e-05,0.00020614583333333333
0.9997654166666667,1.59375e-05,0.00021864583333333333
0.9997472916666668,1.8125e-05,0.00023458333333333333
0.9997305208333332,1.6770833333333332e-05,0.0002527083333333333
0.9997136458333333,1.6875e-05,0.0002694791666666667
0.9996936458333333,2e-05,0.0002863541666666667
0.9996733333333333,2.03125e-05,0.0003063541666666667
0.9996515625,2.1770833333333335e-05,0.0003266666666666666
0.9996297916666668,2.1770833333333335e-05,0.0003484375
0.999606875,2.2916666666666664e-05,0.00037020833333333334
0.9995832291666668,2.3645833333333333e-05,0.000393125
0.999559375,2.3854166666666666e-05,0.00041677083333333334
0.9995365625,2.28125e-05,0.000440625
0.9995161458333333,2.0416666666666664e-05,0.0004634375
0.9995001041666667,1.6041666666666666e-05,0.00048385416666666667
0.9994879166666667,1.21875e-05,0.0004998958333333333
0.9994791666666667,8.75e-06,0.0005120833333333334
0.9994720833333333,7.083333333333334e-06,0.0005208333333333333
0.9994659375,6.145833333333334e-06,0.0005279166666666667
0.99946,5.9375e-06,0.0005340625
0.9994538541666668,6.145833333333334e-06,0.00054
0.9994483333333333,5.520833333333334e-06,0.0005461458333333334
0.9994434375,4.895833333333333e-06,0.0005516666666666667
0.9994394791666668,3.958333333333333e-06,0.0005565625
0.999435625,3.854166666666667e-06,0.0005605208333333333
0.9994325,3.125e-06,0.000564375
0.9994296875,2.8125e-06,0.0005675
0.9994277083333333,1.9791666666666666e-06,0.0005703125
0.9994261458333333,1.5625e-06,0.0005722916666666667
0.9994247916666668,1.3541666666666665e-06,0.0005738541666666666
0.999423125,1.6666666666666667e-06,0.0005752083333333334
0.9994210416666667,2.0833333333333334e-06,0.000576875
0.9994188541666668,2.1875e-06,0.0005789583333333333
0.9994164583333333,2.3958333333333334e-06,0.0005811458333333334
0.9994144791666667,1.9791666666666666e-06,0.0005835416666666667
0.9994125,1.9791666666666666e-06,0.0005855208333333334
0.9994107291666667,1.7708333333333335e-06,0.0005875
0.99940875,1.9791666666666666e-06,0.0005892708333333334
0.9994063541666667,2.3958333333333334e-06,0.00059125
0.9994036458333333,2.708333333333333e-06,0.0005936458333333334
0.9994009375,2.708333333333333e-06,0.0005963541666666667
0.9993985416666668,2.3958333333333334e-06,0.0005990625
0.999395625,2.916666666666667e-06,0.0006014583333333334
0.9993921875,3.4375e-06,0.000604375
0.9993889583333333,3.229166666666667e-06,0.0006078125
0.9993865625,2.3958333333333334e-06,0.0006110416666666666
0.9993825,4.0625e-06,0.0006134375
0.9993757291666667,6.770833333333334e-06,0.0006175
0.999365,1.0729166666666667e-05,0.0006242708333333333
0.9993525,1.25e-05,0.000635
0.9993377083333332,1.4791666666666668e-05,0.0006475
0.9993201041666667,1.7604166666666667e-05,0.0006622916666666667
0.9993009375,1.9166666666666667e-05,0.0006798958333333332
0.9992836458333333,1.7291666666666666e-05,0.0006990625
0.9992675,1.6145833333333334e-05,0.0007163541666666667
0.9992509375,1.65625e-05,0.0007325
0.9992301041666667,2.0833333333333336e-05,0.0007490625
0.9992034375,2.6666666666666667e-05,0.0007698958333333333
0.9991738541666667,2.9583333333333335e-05,0.0007965625
0.9991432291666668,3.0625e-05,0.0008261458333333332
0.9991164583333333,2.6770833333333335e-05,0.0008567708333333333
0.9990902083333333,2.625e-05,0.0008835416666666667
0.9990640625,2.6145833333333336e-05,0.0009097916666666667
0.9990352083333333,2.8854166666666666e-05,0.0009359375
0.9990028125,3.239583333333333e-05,0.0009647916666666667
0.9989694791666667,3.3333333333333335e-05,0.0009971875
0.9989409375,2.8541666666666665e-05,0.0010305208333333334
0.9989191666666667,2.1770833333333335e-05,0.0010590625
0.99890125,1.7916666666666667e-05,0.0010808333333333334
0.9988847916666667,1.645833333333333e-05,0.00109875
0.9988690625,1.572916666666667e-05,0.0011152083333333333
0.9988548958333333,1.4166666666666668e-05,0.0011309375
0.9988416666666667,1.3229166666666667e-05,0.0011451041666666667
0.99883,1.1666666666666668e-05,0.0011583333333333333
0.9988207291666668,9.270833333333334e-06,0.00117
0.9988136458333333,7.083333333333334e-06,0.0011792708333333334
0.998808125,5.520833333333334e-06,0.0011863541666666667
0.9988033333333333,4.791666666666667e-06,0.001191875
0.998798125,5.208333333333334e-06,0.0011966666666666666
0.9987926041666667,5.520833333333334e-06,0.001201875
0.9987870833333333,5.520833333333334e-06,0.0012073958333333333
0.9987815625,5.520833333333334e-06,0.0012129166666666666
0.9987779166666667,3.6458333333333333e-06,0.0012184375
0.9987746875,3.229166666666667e-06,0.0012220833333333333
0.9987733333333333,1.3541666666666665e-06,0.0012253125
0.9987717708333332,1.5625e-06,0.0012266666666666667
0.998770625,1.1458333333333333e-06,0.0012282291666666667
0.9987690625,1.5625e-06,0.001229375
0.9987677083333333,1.3541666666666665e-06,0.0012309375
0.9987661458333332,1.5625e-06,0.0012322916666666667
0.9987648958333333,1.25e-06,0.0012338541666666667
0.9987635416666667,1.3541666666666665e-06,0.0012351041666666667
0.9987622916666667,1.25e-06,0.0012364583333333333
0.99876,2.2916666666666666e-06,0.0012377083333333333
0.9987576041666667,2.3958333333333334e-06,0.00124
0.9987547916666667,2.8125e-06,0.0012423958333333332
0.9987527083333333,2.0833333333333334e-06,0.0012452083333333332
0.9987503125,2.3958333333333334e-06,0.0012472916666666667
0.9987467708333333,3.541666666666667e-06,0.0012496875
0.9987394791666667,7.291666666666667e-06,0.0012532291666666668
0.9987285416666667,1.09375e-05,0.0012605208333333333
0.9987148958333333,1.3645833333333332e-05,0.0012714583333333332
0.9987007291666667,1.4166666666666668e-05,0.0012851041666666666
0.9986858333333333,1.4895833333333332e-05,0.0012992708333333335
0.9986701041666667,1.572916666666667e-05,0.0013141666666666666
0.9986519791666667,1.8125e-05,0.0013298958333333333
0.9986332291666667,1.875e-05,0.0013480208333333334
0.9986130208333333,2.0208333333333334e-05,0.0013667708333333333
0.9985927083333332,2.03125e-05,0.0013869791666666666
0.9985695833333332,2.3125e-05,0.0014072916666666665
0.99854625,2.3333333333333336e-05,0.0014304166666666666
0.9985207291666667,2.5520833333333335e-05,0.00145375
0.9984897916666667,3.09375e-05,0.0014792708333333335
0.9984575,3.229166666666667e-05,0.0015102083333333335
0.9984252083333333,3.229166666666667e-05,0.0015425
0.9983965625,2.8645833333333336e-05,0.0015747916666666666
0.9983666666666667,2.9895833333333336e-05,0.0016034375
0.9983395833333333,2.7083333333333335e-05,0.0016333333333333334
